,Company Name,Comapany Website,Address,Contact,Phone No.
1311,KÖRÖSTEJ LTD.,www.korostej.hu,Népfürdő U.22. B tower 9th floor 1138 Budapest Hungary,"Bela Nagy, Marketing and PR ManagerMarketing and PR Manager",+36 1 3493521
1312,KORUMA TEMIZLIK A.S.,www.korumatemizlik.com.tr,Deniz Mah. Petrol Ofisi Cad. No:43 Derince 41900 Kocaeli Turkey,"Halil Kozluca, Export SpecialistExport SpecialistSelma Gönül Murat, Export ManagerExport Manager",+90 262 2392270
1313,PCC CONSUMER PRODUCTS KOSMET SP. Z O.O.,www.kosmet.com.pl,Ul. Sienkiewicza 4 56-120 Brzeg Dolny Poland,"Bartosz Fabianowicz, Account ManagerAccount Manager",+48 667650968
1314,KOSOVA WINE SH.P.K.,www.kosovawine-ks.com,Str. Vellezerit Haradinaj nn 21010 Rahovec Kosovo,"Bejtullash Shehu, Export ManagerExport Manager",+383 49999901
1315,"KOSOVO INVESTMENT AND ENTERPRISE SUPPORT AGENCY (KIESA) / MINISTRY OF INDUSTRY, ENTREPRENEURSHIP AND TRADE",www.invest-ks.org,Str. Arbënor e Astrit Dehari no. 12 10000 Prishtina Kosovo,"Kreshnik Rugova, Senior Export Promotion OfficerSenior Export Promotion OfficerArber Muhaxheri, Director of the Private Sector Promotion DirectoryDirector of the Private Sector Promotion Directory",+381 38 200 36587
1316,KOSOVO MANUFACTURING CLUB (KMC),www.klubiprodhuesve.org,"Lorenc Antoni, No. 21 10000 Prishtina Kosovo","Astrit Panxha, Executive DirectorExecutive DirectorVllaznim Osmani, General SecretaryGeneral Secretary",+38 345666486
1317,KOURANTIDIS NIKOLAOS,www.regina-foods.gr,Block 39A-3rd Zone-Industrial Area of Sindos 57022 Thessaloniki Greece,"Nikolaos Kourantidis, OwnerOwnerElisabeth Theodoseli, Export ManagerExport Manager",+30 2310 706481
1318,KOUTSODIMOS WINERY,www.koutsodimos.com,2nd Klm. Nemea - Kiato 20500 Nemea Greece,"Maria Mitsikoudi, Export ManagerExport ManagerAchilleas Papadopoulos, Commercial DirectorCommercial Director",+30 698 083 8625
1319,KOYUNCU,www.koyuncusalt.com,Isci Blokları Mahallesi Mevlana Bulvarı Ege Plaza No:182/67 06530 Ankara Turkey,"Mert Kocan, Regional Sales ManagerRegional Sales Manager",+90 5074305732
1320,KOZMO CHEMICAL,www.kozmokimya.com,"Gokevler Mah. 2312. Sok. Ginza Corner Plaza No:16 D:31 34522 Esenyurt, Istanbul Turkey","Ozan Vural, Regional Export ManagerRegional Export ManagerAli Elci, Regional Export ManagerRegional Export Manager",+90 212 771 2211
1321,KOZMOPOLITAN GIDA SAN. VE TIC A.S.,www.cfgoil.com,"10007 Sok No 22 A Ulukent 35663 Menemen, Izmir Turkey","Okan Ozcelik, Export ManagerExport ManagerSinan Bozdag, General ManagerGeneral Manager",+90 232 833 4210
1322,M/S KPPL INDIA,www.kpplindia.com,"D-1601, 16th Floor, Lotus Corporate Park Western Express Highway, Goregaon (East) 400063 Mumbai India","Sharvari Mhatre, Sales CoordinatorSales CoordinatorKedar Khedekar, Senior Marketing ExecutiveSenior Marketing Executive",+91 7045496646
1323,KRAJOWA SPOLKA CUKROWA S.A.,www.polski-cukier.pl,Ul. Kraszewskiego 40 87-100 Toruń Poland,"Michał Grela, Lead AnalystLead Analyst",
1324,KRAMER GMBH SCHWARZWÄLDER WURSTSPEZIALITÄTEN,www.kramerswurst.de,Am Gansacker 28 79224 Umkirch Germany,"Barbara Kramer, GeschäftsführerinGeschäftsführerin",+49 7665 94520
1325,KRI - KRI SA,www.krikri.gr,3rd Km Serres-Drama 62100 Serres Greece,"Andreas Mylonas, Export DirectorExport DirectorKyriaki Savvidou, Exports Area Brand ManagerExports Area Brand Manager",+30 23210 68300
1326,KROMA NEDERLAND,www.kroma-nederland.nl,Schaepmanstraat 16 2672 AS Naaldwijk The Netherlands,"Wim Valstar, ManagerManager",+31 17 4643980
1327,KRONOS JSC,www.kronos.bg,Malashevska Street 8 1202 Sofia Bulgaria,"Nikolay Iliev, Sales ManagerSales Manager",+359 887656560
1328,KRONOS SA,www.kronos.com.gr,Mavrouvoni 58500 Skydra Greece,"Yiannis Tsitsis, Export DepartmentExport Department",+30 23810 89795
1329,KRÜGER GMBH & CO. KG,www.krueger-company.com,Senefelderstraße 44 51469 Bergisch Gladbach Germany,"Serge Ambrosini, Export Sales DirectorExport Sales Director",+49 2202 105 0
1330,KRYNICA VITAMIN SA,www.krynicavitamin.com,Ul. Matyldy 35 03-606 Warsaw Poland,"Katarzyna Sala-Kolodziej, Product Development ManagerProduct Development Manager",+48 22 743 83 90
1331,KTC EXPORT PVT.LTD.,www.ktcexport.com,4b Chetan Seth Street 2nd Floor 700007 Kolkata India,"Vivek Agarwal, DirectorDirector",+91 9903862178
1332,KTC KÖRNER TRADING CONSULTING GMBH,www.firstchoice.de,Hochstr. 60 45894 Gelsenkirchen Germany,"Michael Körner, GeschäftsführerGeschäftsführer",+49 209 3899167
1333,KUCHENMEISTER GMBH,www.kuchenmeister.de,Coesterweg 31 59494 Soest Germany,"Fred Schandel, Head of Export DepartmentHead of Export DepartmentFabian Meiberg, Head of Marketing and SalesHead of Marketing and Sales",+49 2921 7808 0
1334,KULODAY TECHNOPACK PVT. LTD.,www.kuloday.com,"25, Sona Udyog Industrial Estate Parsi Panchayat Road, Andheri East 400069 Mumbai India","Krishnakumar Prahladrai Chokhani, ChairmanChairmanAnuj Chokhani, Chief Executive OfficerChief Executive Officer",+91 22 4155 7799
1335,KUNAGONE S.A.,www.kunagone.eu,Pl. Kilinskiego 1 32-660 Chelmek Poland,"Artur Olejniczak, Chief Executive OfficerChief Executive Officer",+48 794575145
1336,KUPIEC LTD.,www.kupiec.pl,"Ul. Kupiecka 17 62-513 Krzymów, Paprotnia Poland","Joanna Darul-Parus, Export Marketing ManagerExport Marketing Manager",+48 63 241 3737
1337,INVESTMENT & DEVELOPMENT AGENCY OF LATVIA (LIAA),www.liaa.gov.lv,2 Perses Street 1442 Riga Latvia,"Dace Cima Steinberga, Project ManagerProject Manager",+371 670 39400
1338,LABAN FOODS BV,www.labanfoods.nl,Spaǌeweg 20 2411 PX Bodegraven The Netherlands,"Karel van Driel, Commercial ManagerCommercial ManagerChrista Laban, Sales DepartmentSales Department",+31 172 613 220
1339,LA BISCUITERIE DE LA CHAPELLE,www.maisondeflorentins.fr,58 Rue de Lorraine 44240 La Chapelle sur Erdre France,"Yann Ducarouge, General DirectorGeneral Director",+33 6 032 62 33 60
1340,LABORATOIRE NATUREL S.A.,www.labnaturel.com,Route Suisse 8A 1163 Etoy Switzerland,"Chantal van Ligten, International Sales ManagerInternational Sales ManagerElena Geerdink, Head of Sales EuropeHead of Sales Europe",+41 22 548 17 84
1341,LABORATOIRE ODOST,www.buccotherm.com,23 Rue Du Lac 32410 Castera-Verduzan France,"Sara Mayor, International Business DirectorInternational Business DirectorRoland Lascombes, Chief Executive OfficerChief Executive Officer",+33 562 478 920
1342,LABORATOIRE PIERRE CARON SAS,www.nutraskills.com,Parc Activites du Gros Chene 56460 Serent France,"Frédéric Herlin, PrésidentPrésident",+33 297 7376 76
1343,"LABORATORIOS MONTPLET, S.L.U.",www.montplet.es,Vía Trajana 53-55 08020 Barcelona Spain,"Vanessa Monfort, Chief Executive OfficerChief Executive OfficerPaola Tosini, Export ManagerExport Manager",+34 93 313 63 62
1344,LABORATORIOS NATUAROMATIC,www.laboratoriosnatuaromatic.com,"C/ Urano n5, Pol. Ind. Casa del Aire, Las Torres de Cotillas 30565 Murcia Spain","Maria Jose Gil Jara, CommunicationCommunication",+34 868 49 99 89
1345,LABORATORIOS YNSADIET S.A.,www.ynsadiet.com,"C/ Isaac Peral, 3 28914 Leganes Spain","Elena Requis Gonzalez, Export and Private Label DepartmentExport and Private Label DepartmentSonia Fernandez, Export and Private Label DepartmentExport and Private Label Department",+34 626 06 51 57
1346,LA BOULANGÈRE & CO,www.laboulangere.com,"Zi La Mongie 1, Rue Du Petit Bocage 85140 Essarts En Bocage France","Manuella Roy, Marketing ManagerMarketing Manager",+33 2 51 31 05 25
1347,LA CLAUDIA ITALIA SL,www.krdrinks.com,Nicolas Copernic 10 Pol Industrial El Brosquil 46780 Oliva Spain,"Alvaro Alcazar, Export ManagerExport ManagerFrancisco Malonda, General ManagerGeneral Manager",
1348,LACO SAS,www.lacoshop.com,"3, Avenue de l'Europe 67720 Hoerdt France","Anastasiia Blakytna, Business Development ManagerBusiness Development ManagerDyna Peter-Ott, Chief Executive OfficerChief Executive Officer",+33 770 08 80 35
1349,LA DISPENSA DI CAMPAGNA SRL,www.ladispensadicampagna.com,"Località Badia, 252/A 57022 Donoratico (LI) Italy","Sophia Jane Joly, Export ManagerExport Manager",+39 0565 774105
1350,LA DORIA S.P.A.,www.gruppoladoria.it,Via Nazionale 320 84012 Angri (SA) Italy,"Diodato Ferraioli, Head of Export SalesHead of Export SalesGiuseppe Tammaro, Italian Sales DirectorItalian Sales Director",+39 081 5166111
1351,LAEM GROUP D.O.O.,www.laemgroup.com,Miren 137 5291 Miren Slovenia,"Luka Klancic, ManagerManager",+386 40166002
1352,LA FARM S.A,www.lafarm.gr,6 klm Trikalon - Pilis 42100 Trikala Greece,"Louis Weber, Commercial DirectorCommercial DirectorElena Plexida, Financial ControllerFinancial Controller",+30 2431084480
1353,LA FOURNÉE DORÉE,www.lafourneedoree.fr,"6 Rue de l'Océan, CS 60014 85150 Les Achards France","Alexandre Remuzon, Export ManagerExport ManagerClémence Peau Hosokawa, Key Account ManagerKey Account Manager",+33 251 05 99 99
1354,LAGEEN TUBOPLAST,www.lageentubes.com,Kibbutz Yagur 3006500 Kibbutz Yagur Israel,"Karin Borenstein, Marcom ManagerMarcom ManagerYoav Grinberg, Chief Executive OfficerChief Executive Officer",+972 538 254 313
1355,LAGUELLE SAS,www.laguelle.com,"BP 4, 27 Route de Hérisson 03430 Cosne d'Allier France","Anaïs Bony, Assistance Commerciale ExportAssistance Commerciale ExportBernard Poirson, Direction CommercialeDirection Commerciale",+33 4 70 07 09 03
1356,LAÏTA,www.laita.com,"4 Rue Henri Becquerel, ZI de Kergaradec 29806 Brest Cedex 9 France","Joseph Tranvoiz, Private Label Sales Director FrancePrivate Label Sales Director FranceYvan Borgne, Export ManagerExport Manager",+33 298 425425
1357,LAITERIES H. TRIBALLAT,www.rians.com,650 Route des Malvettes 18220 Rians France,"Nicolas Delpon, International Sales DirectorInternational Sales DirectorOlivier Bouchet, Benelux Sales ManagerBenelux Sales Manager",+33 2 48 66 24 10
1358,LAJTHIZA INVEST SHA,www.lajthiza.al,"Rruga Locka, Kashar 1000 Tirane Albania","Dorjan Dogjani, General DirectorGeneral DirectorValbona Alushi, Head of FinanceHead of Finance",+355 676032013
1359,LAKI DOO,www.laki.rs,Stupcevici bb 31230 Arilje Serbia,"Boris Obradovic, Managing DirectorManaging DirectorMilos Jeremic, Commercial ManagerCommercial Manager",+38 131 896 595
1360,LAKMA STREFA SP. Z O.O.,www.lakma.com,Gajowa Str. 7 43-254 Warszowice Poland,"Maciej Paluch, Chief Executive OfficerChief Executive Officer",+48 32 435 3188
1361,LA MEDITERRANEA S.R.L.,www.lamediterraneasrl.it,Via Viazza Sinistra 2 40054 Mezzolara di Budrio (BO) Italy,"Samantha Miglianti, Administration DepartmentAdministration DepartmentMarco Meloro, Export and Import ManagerExport and Import Manager",+39 051 805839
1362,LAMERI SPA,www.lameri.it,Via D.F. Cattaneo n. 28/30 26020 San Bassano (CR) Italy,"Lia Diaz, Export Sales DepartmentExport Sales DepartmentChristophe Laurent, Export ManagerExport Manager",+39 0374 3821
1363,LANDENA KG,www.landena.at,Erzherzog-Johann Strasse 303 8950 Stainach-Prügg Austria,"Christoph Aigner, Marketing and Sales ManagerMarketing and Sales ManagerChristian Ruhdorfer, Sales and MarketingSales and Marketing",+43 3682 285 12
1364,LANDGARTEN GMBH & CO. KG,www.landgarten.at,Alte Wiener Str. 25 2460 Bruck/Leitha Austria,"Clemens Trimmel, International Sales ManagerInternational Sales Manager",+43 2162 64504
1365,LAND-LEBEN NAHRUNGSMITTEL GMBH,www.land-leben.com,Gewerbepark 1 5102 Anthering Austria,"Martin Ölz, GeschäftsführerGeschäftsführer",+43 662 451 285
1366,LANTMANNEN CEREALIA AB,www.lantmannencerealia.se,Sankt Goransgatan 160 112 17 Stockholm Sweden,"Karina Bessarabova, International Business Development CoordinatorInternational Business Development CoordinatorMarcus Burmester, International Business Development ManagerInternational Business Development Manager",+46 105562200
1367,LANTMANNEN UNIBAKE HOLDING A/S,www.lantmannen-unibake.com,"Oensvej 28, Hatting 8700 Horsens Denmark","Chris Houston, Group Market Intelligence ManagerGroup Market Intelligence Manager",+45 7628 5000
1368,LA PIZZA+1 SPA,www.lapizzapiuuno.it,Via G. Galilei 11/13 29027 Gariga di Podenzano (PC) Italy,"Elena Dzyuba, Marketing ManagerMarketing Manager",+39 0523042411
1369,LARCO FOODS B.V.,www.larcofoods.com,Industrielaan 10 5711 CX Someren The Netherlands,"Ruud Zoon, Account ManagerAccount ManagerLennert Goossens, Account ManagerAccount Manager",+31 493 4935 35
1370,LÄSSIG GMBH,www.laessig-fashion.de,Im Riemen 32 64832 Babenhausen Germany,"Janet Schwarz, Key Account ManagerKey Account ManagerMargarita Kühn, Key Account ManagerKey Account Manager",+49 6073 74489 0
1371,LAT EKO FOOD LTD.,www.latekofood.lv,Muizas Street 18a 2164 Adazi Latvia,"Iveta Freiberga, Business Development and SalesBusiness Development and SalesDiana Gaile, Export Sales ManagerExport Sales Manager",+371 20221169
1372,LATROVALIS & CO,www.latrovalis.eu,3rd km Serres - Nigrita 62125 Serres Greece,"Theodora Latrovalis, Sales ManagerSales ManagerEvi Latrovalis, Operations ManagerOperations Manager",+30 23210 46761
1373,LATVIJAS BALZAMS AS,www.lb.lv,A. Caka Street 160 1012 Riga Latvia,"Justs Dzedons, Private Label ManagerPrivate Label ManagerIntars Geidans, Chief Executive OfficerChief Executive Officer",+371 670 81213
1374,LATZIMAS S.A.,www.latzimasoil.gr,Panormo 74057 Rethymno Greece,"Nikolaos Douvros, Sales and ExportsSales and Exports",+30 6972 099 850
1375,LAURIERI SRL,www.laurieri.com,"Via G. Agnelli SNC, Z.I. La Martella 75100 Matera Italy","Adriano Buono, Sales ManagerSales ManagerGianni Laurieri, Sales ManagerSales Manager",+39 0835 302809
1376,LAUSITZER FRÜCHTEVERARBEITUNG GMBH,www.lausitzer-fruechte.de,Hauptstraße 79 02689 Sohland A.d. Spree Germany,"Maximilian Deharde, Mitglied der GeschäftsführungMitglied der GeschäftsführungAndreas Hentsch, Vertrieb, Export, Co-PackingVertrieb, Export, Co-Packing",+49 359 363 9511
1377,LAUX GMBH,www.laux-feinkost.de,Europa-Allee 29 54343 Föhren Germany,"Nicolai Schenk, Chief Executive OfficerChief Executive Officer",+49 65 02 930 93 42
1378,LAVINO KAPUR COTTONS PVT. LTD.,www.lavinokapur.com,"121/122 Mittal Chambers, Nariman Point 400021 Mumbai India","Pankaj Gangakhedkar, General Manager Sales and MarketingGeneral Manager Sales and MarketingChetan Kapur, ExecutiveExecutive",+91 22 6632 5141
1379,LB DISTRIBUTION SAS,www.laboratoirebiopharme.com,158 A Chemin des Guillaumets 84660 Maubec France,"Christèle Vian, Chief Executive OfficerChief Executive OfficerHakim Nacer, Chief Executive OfficerChief Executive Officer",+33 612707744
1380,LE BONTÀ SRL,www.lebonta.it,Via Maestri del Lavoro 7 50013 Campi Bisenzio Italy,"Giacinto Carapelli, Export DirectorExport DirectorElena Risaliti, Employee Export DepartmentEmployee Export Department",+39 055 7760150
1381,FROMAGERIE LE CENTURION SAS,www.le-centurion.com,ZA Les Portes du Nord 62820 Libercourt France,"Antoine Belperron, Export DirectorExport DirectorRomain Courret, Commercial DirectorCommercial Director",+33 321 79 33 79
1382,LECLERC FOODS,www.leclercfoods.com,"44 Park Drive 17752 Montgomery, PA U.S.A.","Frédéric Langlois, Senior VP Private Label Sales, Innovation, R&DSenior VP Private Label Sales, Innovation, R&DJean-Sebastien Leclerc, Vice PresidentVice President",+1 418 878 2601
1383,L'ECOPAIN D'IGNACE,www.lecopaindignace.be,Rue Ilya Prigogine 3 7850 Enghien Belgium,"Stephanie Vandekerkhove, Commercial ManagerCommercial ManagerIgnace Vandekerkhove, Chief Executive OfficerChief Executive Officer",+32 2 397 04 30
1384,LE DUC FINE FOOD B.V.,www.leduc-food.nl,Meester Snijderweg 18 3251 Ǉ Stellendam The Netherlands,"Dick den Hertog, DirectorDirectorDirk van Muylwijk, Commercial ManagerCommercial Manager",+31 187 60 50 17
1385,LEEV.NU B.V.,www.leev.nu,Van der Kunstraat 12 4251 LN Werkendam The Netherlands,"Eveline Rossou, MarketingMarketingAart-Jan Knauff, Managing DirectorManaging Director",+31 183679922
1386,LEIGHTON FOODS A/S,www.leightonfoods.com,Blomstervej 16 8381 Tilst Denmark,"Harald Keul, Chief Executive OfficerChief Executive OfficerMarco Geue, Director Sales and MarketingDirector Sales and Marketing",+45 87 45 18 70
1387,LEIMER KG,www.leimer.de,Kotzinger Straße 16 83278 Traunstein Germany,"Norbert Neumüller, Sales Manager InternationalSales Manager InternationalDaniel Stich, Key Account ManagerKey Account Manager",+49 861 7091 0
1388,LEMARIE PATISSIER,www.lemariepatissier.com,ZI d'Angean le Parc Rue Paul Journée 60240 Chaumont en Vexin France,"Carole Lemarié, Assistante de DirectionAssistante de Direction",+33 3 44 49 23 17
1389,LES DELICES DU CHEF - DIV. OF HAFNER,www.lesdelicesduchef.com,ZA de Poulvern 56550 Locoal Mendon France,"Laurent Guédon, Export ManagerExport ManagerMarie-Laure Besson, Export Sales AssistantExport Sales Assistant",+33 4 77 52 76 78
1390,LE SQUISIVOGLIE S.R.L.,www.lesquisivoglie.com,"Strada Provinciale Empolitana Km. 3,400 00024 Castel Madama Italy","Tommaso Piersanti, Managing DirectorManaging DirectorAlessandro Addari, Export ManagerExport Manager",+39 0774 411646
1391,LE TRIFOLE DI CURZIETTI DAVIDE,www.letrifole.com,Via Dei Caduti 24 14050 San Marzano Oliveto Italy,"Federico Curzietti, Ufficio EsteroUfficio Estero",+39 338 456 6978
1392,LE VIE DEL TARTUFO S.R.L.,www.jimmytartufi.it,Via del Lavoro snc 06026 Pietralunga (PG) Italy,"Silvia Cecchini, Export Sales DepartmentExport Sales DepartmentDaniele Tintori, Chief Commercial OfficerChief Commercial Officer",+39 0759 460452
1393,LEZZA FOODS BV,www.lezzafoods.com,Zandvoortstraat 12B 2800 Mechelen Belgium,"Yakup Bolukbasi, ManagerManagerBerat Colak, Marketing ManagerMarketing Manager",
1394,"GUANGZHOU LIANYI BIOTECHNOLOGY CO., LTD.",www.chainkwo.com,"Loft D3, Zhihui Park, No. 310 Yuangang Road, Tianhe District 510507 Guangzhou China","Charles Hu, General ManagerGeneral Manager",+86 20 38012655
1395,LIBEERT SA,www.libeert.com,"Avenue des Châteaux 107a 7780 Comines, Hainaut Belgium","Lily Libeert, Sales DirectorSales Director",+32 56 560505
1396,SIA LICIS 93,www.gamma-a.lv,Traleru Street 30 1030 Riga Latvia,"Igors Puzs, Head of ExportHead of ExportValentins Cernakovs, Marketing ManagerMarketing Manager",+371 223 816 39
1397,LABORATOIRE L'IDEAL PARISIEN SP. Z O.O.,www.lideal.pl,Al. Krasinskiego 14/3a 30-101 Cracow Poland,"Irena Baranek, President of the BoardPresident of the BoardAdrian Baranek, Business Development ManagerBusiness Development Manager",+48 12 258 56 15
1398,LIDER KOZMETIK SAN VE TIC A.S.,www.liderkozmetik.com,"Dilovasi Organize Sanay Bolgesi 5.Kisim Mah D-5007, Sok No12 41454 Dilovasi-Kocaeli Turkey","Hakan Celik, Deputy General ManagerDeputy General ManagerRiccardo Jomanarison, Regional Export ManagerRegional Export Manager",+90 262 754 78 54
1399,LIDERPARTNER LDA,www.nutsoriginal.com,Travessa dos Mourões 83 4410-136 São Felix da Marinha Portugal,"Nuno Guterre, Chief Executive OfficerChief Executive OfficerAna Dias, Sales ManagerSales Manager",+351 2271 2361 8
1400,LIFEBRANDS NATURAL FOOD GMBH,www.lifebrands.de,Gaußstraße 120-122 22765 Hamburg Germany,"Stuart Logan, Head of SalesHead of SalesChristopher Soukup, Head of Product ManagementHead of Product Management",+49 15157304781
1401,LIGHT TREE VENTURES,www.lighttreeventures.com,"Laan van Ypenburg, 108 2497 GC The Hague The Netherlands","Bunga Ghassani, International SalesInternational Sales",+31 648080144
1402,LIKING SPA,www.liking.it,Via Julia 15 35018 San Martino di Lupari Italy,"Alessandro Maradini, International Business DevelopmentInternational Business Development",+39 0499461414
1403,LILA KAGIT SAN. VE TIC. A.S.,www.lilagroup.com,Business Istanbul Merdivenkoy Mahallesi Nur Sokak A-Blok No: 1A Kat: 17 Goztepe Kadıkoy 34732 Istanbul Turkey,"Neslihan Canatar, Marketing ManagerMarketing Manager",+90 5309568968
1404,LILLY'S CAKES N.V,www.lillyscakes.be,Kluizenhof 19 9170 St. Gillis Waas Belgium,"Yves Boone, SalesSales",+32 37070804
1405,LIMELCO,www.thedairyfoodgroup.com,Genkerbaan 75 3520 Zonhoven Belgium,"Marc Arnauts, Key Account ManagerKey Account ManagerPaul Ceuppens, Key Account ManagerKey Account Manager",+32 11 81 91 20
1406,LIMHEALTH S.R.L.,www.limhealth.it,Via Milano 8/13 Via Milano 8/13 20816 Ceriano Laghetto Italy,"Maria Cristina Benelli, Operations DirectorOperations DirectorTiziano Crimella, Chief Executive OfficerChief Executive Officer",+39 3467391472
1407,LINCO CARE LIMITED,www.lincocare.com,"Linco House, Manchester Road M31 4BX Manchester United Kingdom","Mian Ijaz, Sales ManagerSales ManagerKen Beck, Senior Accounts ManagerSenior Accounts Manager",+44 161 777 9229
1408,LIODRY FOODS S.R.L.,www.liodryfoods.com,Via E. Mattei 8/A 42043 Gattatico (RE) Italy,"Marzio Tellini, Chief Executive OfficerChief Executive Officer",+39 0522 908725
1409,LION DOO,www.lion.com.mk,Regionalen pat R-105 2220 Sveti Nikole North Macedonia,"Riste Ristevski, Chief Executive OfficerChief Executive OfficerAleksandra Ristevska, Chief Operating OfficerChief Operating Officer",+38 970 210 125
1410,LIPOMAIDSAN COSMETIC GMBH,www.lipomaidsan.com,Trifthofstrasse 57 82362 Weilheim Germany,"Stefan Alex von Klebelsberg, Managing PartnerManaging PartnerFlorian Jung, Managing PartnerManaging Partner",+49 881 8081
1411,"LIQUATS VEGETALS, S.A.",www.liquats.com,"Ctra. De Vic Km 1,23 17406 Viladrau, Girona Spain","Sebastian Szuchy, Export Area ManagerExport Area ManagerFrancesc Solà, International Sales DirectorInternational Sales Director",+34 93 884 80 69
1412,LIRI,www.liriprizren.com,Uke Bytyqi nn 20000 Prizren Kosovo,"Liridon Kalenderi, Chief Executive OfficerChief Executive OfficerIlir Kalanderi, ManagerManager",+383 448 495 60
1413,LISAP LABORATORI COSMETICI SPA,www.fpmilano.com,Via Montelungo 59 20027 Rescaldina (MI) Italy,"Fabrizio Locatelli, General ManagerGeneral ManagerKatia Villa, Sales DepartmentSales Department",+39 0331 937211
1414,L'ISOLA D'ORO SRL,www.lisoladoro.it,Via Emilio Lepido 89 43123 Parma Italy,"Donatella Zarotti, Commercial Export ManagerCommercial Export ManagerMarco Zarotti, Sales DirectorSales Director",+39 335 8155980
1415,LITERA MEAT S.L.U,www.literameat.eu,Ctra N240 Km 128.5 Poligono Industrial El Sosal 22500 Binefar Spain,"Claudio Talarico, Export Sales ManagerExport Sales ManagerRaquel Blanch, MarketingMarketing",+34 974275377
1416,LITFOOD RURAL BUSINESS AND MARKETS DEV. AG,www.export.litfood.lt,L. Stuokos-Guceviciaus Str. 9-12 01122 Vilnius Lithuania,"Irma Šlaičiūnaitė-Černiauskienė, Head of Export Promotion DivisionHead of Export Promotion Division",+370 610 85908
1417,LITHUANIAN FOOD EXPORTERS ASSOCIATION (LITMEA),www.litmea.lt,Verkiu 35 09109 Vilnius Lithuania,"Giedrius Bagusinskas, DirectorDirector",+370 686 21855
1418,"LIUTUKAS IR KO, JSC",www.liutukas.lt,15 Alovés Str. 46344 Kaunas Lithuania,"Valdemara Rita Kazlauskiene, DirectorDirectorGintaré Janulione, Export ManagerExport Manager",+370 687 87070
1419,LLC GANZA TREYD,www.bhb.com.ua,Akademika Yanhelya 4 21007 Vinnitsa Ukraine,"Maryna Kalinina, Export ManagerExport Manager",+380 674338270
1420,LN FOOD DISTRIBUTION S.R.O.,www.lnfood.eu,Slechtitelu 683/1 77900 Olomouc Czech Republic,"Tomas Caizl, Sales DirectorSales DirectorPetra Souckova, Key Account ManagerKey Account Manager",+420 737 370 312
1421,LOC MARIA BISCUITS,www.gavottes.fr,1 Rue de Pélineuc 22100 Lanvallay France,"Nolwenn Ruellan, European Retail Sales ManagerEuropean Retail Sales ManagerMarc Cadiou, Sales ManagerSales Manager",+33 2 56 38 31 14
1422,LODI GROUP,www.lodi-international.com,Parc d' Activités des Quatre Routes 35390 Grand-Fougeray France,"Stéphane Chaverot, Inernational Sales DirectorInernational Sales Director",
1423,LOGO-PLASTIC AG,www.logoplastic.ch,Salinenstrasse 63 4133 Pratteln Switzerland,"Jürg Lochinger, Chief Executive OfficerChief Executive OfficerBernhard Müller, Head of SalesHead of Sales",+41 61 337 90 90
1424,VAN LOON B.V.,www.vanloongroup.com,Ekkersrijt 8825 5692 JW Son en Breugel The Netherlands,"Jan Weijers, Chief Executive OfficerChief Executive Officer",+31 499378831
1425,LOUIS MARTIN S.A.,www.louis-martin.fr,Chemin De La Buire 84170 Monteux France,"Arnaud Roux, Export ManagerExport ManagerMarnie Delakian, Export DepartmentExport Department",
1426,LOVEMADE ORGANICS,www.lovemadeorganics.com/en/,Linnesgade 25 1361 Copenhagen K Denmark,"Silvia Wulff, Chief Executive Officer and FounderChief Executive Officer and FounderMelissa Danielsen, Project ManagerProject Manager",+45 26560988
1427,OSM LOWICZ,www.mleczarnia.lowicz.pl,Przemysłowa 3 99-400 Lowicz Poland,"Szymon Makos, Export ManagerExport Manager",+48 468303600
1428,LOYEZ WOESSEN SA,www.loyezwoessen.com,Rue Saint Patrick 59133 Phalempin France,"Cédric Delannay, Associate Sales DirectorAssociate Sales Director",+33 3 20 90 55 00
1429,LPP LOTAO PACK- UND PRODUKTIONS GMBH,www.lotao.com,Gubener Straße 47 10243 Berlin Germany,"Stefan Fak, Founder and Chief Executive OfficerFounder and Chief Executive OfficerDaniela Fründ, Sales Management Private LabelSales Management Private Label",+49 30 420257214
1430,LSEZ SIA NORDEPLAST,www.nordeplast.com,Ziemelu Street 19 3405 Liepaja Latvia,"Anna Tacenko, Sales ManagerSales ManagerRomans Gramiko, Board MemberBoard Member",+371 20037773
1431,LUBA SP. Z O.O.,www.luba-group.com,Ul. Twarda 4/294 00-105 Warszawa Poland,"Michal Olech, Sales DirectorSales DirectorMartyna Frelek, Key Account ManagerKey Account Manager",+48 693 061 309
1432,LUCARELLI ALFERINO SRL,www.olivelucarelli.it,C.da Boschetto 49 04010 Rocca Massima (LT) Italy,"Jessica Della Vecchia, Sales AccountSales AccountSara Serafini, Junior Export Sales AccountJunior Export Sales Account",+39 06 9664152
1433,LUCART SPA,www.lucartgroup.com,Via Ciarpi 77 55016 Porcari (LU) Italy,"Giovanni Monti, Sales and Marketing Consumer DirectorSales and Marketing Consumer DirectorNicoletta Capobianco, Junior Marketing SpecialistJunior Marketing Specialist",+39 0583 83701
1434,LUDWIG SCHOKOLADE GMBH & CO. KG,www.ludwig-schokolade.com,Senefelderstraße 44 51469 Bergisch Gladbach Germany,"Mik de Voogd, Head of SalesHead of SalesFrank Landers, Export Sales ManagerExport Sales Manager",+49 2202 105 500
