,Company Name,Located,Comapany Website,Details
420,INULINA Y MIEL DE AGAVE SA DE CV ,J258 Mexico,http://www.imagorganics.com,"Since our founding in 2005 by a cooperative of seasoned agave producers, we have developed the most sophisticated supply chain to bring from the fields to your table the highest quality of natural sweeteners, fibers, and other functional ingredients. We offer a wide range of packaging options:· Private label· Retail bottles· Food Service· BulkOrganic Agave Syrup: Natural sweetener made from the Blue Weber Agave with wide variety of applications ranging from food and beverages to nutraceuticals and cosmetics. With a low glycemic index of 17.1, it is an ideal substitute for sugar and honey. IMAG Agave Syrup is pure and does not contain sugars from any other plant or source. IMAG is one of the largest global agave manufacturers which brings scale and efficiency.Organic Agave Powder: Sugar alternative commonly used in bakery, beverages, sweets/candy, and fruit preparations (jams, marmalades,etc.)Organic Crystallized Agave: Unrefined, pure, natural sugar alternative in crystallized form made 100% from agave syrup.Organic Aloe Vera: Employed as an ingredient and/or raw material in food supplements for humans and animals, with applications in beverages, personal hygiene and cleansing products, pharmaceuticals, nutraceuticals, and cosmetics. Available in liquid and powder.Organic Inulin: Natural and prebiotic fiber obtained from the Blue Weber Agave that is highly soluble with a neutral flavor. Agave inulin is mainly used to create functional food products with dietary fiber and prebiotic capacity.Organic Stevia: Our stevia is cultivated from the Stevia Rebaudiana plant, which has been used in South America for hundreds of years to naturaly sweeten drinks and food.Organic Tapioca Syrup: Used to add sweetness, binding or texture to beverages, baked goods, table syrups, frozen desserts, and sweets.Organic Chia Seeds: A superfood native to Mexico and South America with applications in beverages, smoothies, yogurts, baked goods, salads and soups."
421,Inv Poland ,Poland,-,-
422,Investment and Development Agency of Latvia ,Latvia,http://www.liaa.gov.lv,"Investment and Development Agency of Latvia (LIAA) offers assistance throughout the process of setting up operations in Latvia, acting as a first point of contact and as a ""one-stop-shop"" in assisting investors and in developing tailored solutions to meet their specific needs. LIAA maintains and regularly updates a database of Latvian enterprises to facilitate partner searches for investment projects and for exporting or subcontracting businesses."
423,IONTEC ,J44 Monaco,http://www.iontec-europe.com,"Created in 2015, IONTEC is a Monegasque company intended to provide unique and patented functional, health and food ingredients to the nutrition, health and beauty industries. Our partnerships ensure that we provide the most advanced solutions to guarantee safety and efficacy. Exsymol, through a long body of studies and expertise, acquired unique and solid knowledge about Silicon technology allowing the company to develop high-efficacy based silicon ingredients. Nova Salus is specialized in the extraction of herbal medicines, ensuring protection from the starting raw material to the final products and guaranteeing ultimate performance."
424,Iprona AG/Spa ,F39 Italy,http://www.iprona.com,"IPRONA is the peerless supplier of the fruit-specific ingredients you need to take your business to the next level. With 40 years of experience, we are experts in taking and developing concentrates, extracts and compounds from fruits. Our product line of premium polyphenol extracts that boost human health and facilitate commercial success consists of three branded ingredients. ElderCraft®, CherryCraft® and CurrantCraft® are gained from Black Elderberry, Tart Cherry and Black Currant and without exception from fruits of controlled European origin. In order to treat the fruit in the most gentle way, we developed a proprietary technology that permits us to extract the best of the natural resources without using any artificial solvents. The result? Natural premium ingredients that are strongly rooted in the company’s core belief that health comes from nature."
425,Irati International ,M150 France,https://irati-ingredients.fr/,"In a fast-growing sector, IRATI INTERNATIONAL assists companies in the partial or total subcontracting of their ranges of food supplements and cosmetics as well as in the management of tailor-made projects ranging from formulation to manufacturing, both in France and abroad."
426,Isaltis ,E53 France,https://www.isaltis.com/en/,"Isaltis is a French group constituted of Givaudan-Lavirotte in Lyon and Bernardy in Thénioux, specialized in high purity mineral salts for the life sciences markets (pharmaceutical, nutrition, cosmetics).Isaltis’ main salts are Calcium, Magnesium, Zinc, Iron, Copper, Potassium, Sodium, and Strontium under different combinations and compositions like the glycerophosphates, gluconates, lactates, citrates and undecylenates.Their organic matrix gives the Isaltis’ mineral salts a high bioavailability, which guarantees maximum efficiency of absorption by the organism.The company belongs to LALLEMAND and MACCO group since 2018."
427,ITA - Italian Trade Agency ,Italy,https://www.ice.it/en/,"ICE is the Government agency thatsupports the globalization of Italian firms, implementingthe strategies of the Ministry of Economic Development.ICE helps to facilitate, develop and promote Italianeconomic and trade relations with foreign countries,focusing on the needs of SME’s, their associations andpartnerships.ICE sustains Italian firms in the internazionalizationprocesses and promotes the marketing of Italian goodsand services, Italian investments, as well as the imageof all that “Made in Italy” around the world besides beingdirectly involved in attracting Foreign Direct Investments.ICE provides information, support and consultancy toItalian companies on foreign markets, promotingexports and fostering cooperation in all areas ofindustry (consumer and capital goods), agriculturaltechnology and agri-food, services, etc., with the aimof increasing and marking the presence of the SME’seffective on international markets. ICE works closelywith the Italian regions, the network of the ItalianChambers of Commerce, business organizations andother public and private entities.ICE headquarter is in Rome, and through their extensivenetwork of offices around the world act as “TradePromotion Office” of the Italian Embassies orConsulates."
428,ITA.PRO SRL ,Italy,-,-
429,Italgel S.r.L ,J153 Italy,http://www.italgel.com,"Manufacturer of gelatin and collagen peptides, in Italy, for more than 50 years, with presence in more than 50 countries."
430,Italian Trade Agency (ITA) ,Switzerland,-,-
431,IVC Nutrition Corporation ,I54 United Kingdom,http://ivcbrunel.co.uk,"IVC Brunel Healthcare is the UK's number one vitamin manufacturer. We specialise in the production of vitamin, mineral and nutritional supplements."
432,Japan Fermentation Laboratory ,O25 Japan,https://www.kefran.com/products/,"Corporate philosophy- Providing happiness through fermented foods! Production: fermented products, wellness food and supplements. Since 1977 we have developed over 170 products related to lactic acid bacteria, yeast, fermented milk powder, Bacillus natto, Aspergillus, plant lactic acid bacteria, polyphenols, japanese wild grasses, fruits based on Japanese original technology and Japanese ingredients. We also focused on R＆D. Currently, we are doing joint research work with many Japanese universities. We have obtained 11 patents. At the moment we are ready to offer you more than 20 types of our Japanese products. In powder, tablets, capsules, jelly, soft candies, yogurt, liquid. Private Label production is also possible. Please contact us for more detailed information!"
433,Jellice Pioneer Private Limited Taiwan Branch (Singapore) ,A50 United Kingdom,-,-
434,JLB DEVELOPPEMENT ,L143 France,-,-
435,JLB DEVLEOPPEMENT ,France,-,-
436,Jost Chemical Co. ,L39 United States of America,http://jostchemical.com,"High Purity Mineral SaltsFor over 35 years, Jost Chemical has manufactured high-purity mineral salts for the nutritional, clinical nutritional, and pharmaceutical markets. All Jost products are manufactured and tested at our 32,400-m2 FDA-registered manufacturing sites, including a new FSSC 22000-certified site in Kościan, Poland, which operates under bulk pharmaceutical cGMPs.Jost Chemical is a leading supplier of high-purity mineral salts including, Calcium, Copper, Iron, Magnesium, Manganese and Zinc. Our wide selection of 250+ chemical salts includes glycinates, citrates, gluconates, lactates, phosphates, malates, ascorbates, acetates, sulfates, oxides, carbonates, fumarates, and nitrates.Our products meet or exceed USP/NF/EP/FCC/GB standards, are fully reacted, are lot-to-lot consistent, and have very low levels of vagrant metals such as Pb, Hg, Cd, As, etc. Jost manufactures products with particle sizes ranging from free-flowing granular to ultrafine (< than 6 microns) powders for improved suspension of insoluble minerals.Product Highlights:Minerals for Infant Formula: For applications where purity is a must, we offer several product lines, including new Infant Pure line which is low chlorate, low heavy metals, and low aluminum.Chelates: Improve bioavailability with our 100% pure, fully reacted, high purity mineral chelates that are exceptionally low in heavy metals, including Magnesium Glycinate and Calcium Citrate Malate.Zinc for Immunity Products: Our line of high purity Zinc is ideal for your nutrition and immunity product applications including capsules, gelcaps, gummies, liquids, lozenges, tablets and powders."
437,"Ju Yeong NS Co., Ltd. ","D141 Korea, South",http://www.juyeongns.com/,"We, JuYeongNS Co., Ltd. was founded in 2003, Korea. Our business field is providing Functional Ingredients and Dietary Supplement as Finished Products with high quality. We are strongly committed to quality control to supply safe and effective materials to our customers. We possess 24 kinds of health functional food ingredients with exclusive approval of KFDA."
438,K. Patel Phyto Extractions Private Limited ,A55 India,-,-
439,Kampotu İlaç Gıda Sanayi ve Ticaret Anonim Şirketi ,O162 Turkey,https://voonka.com/?lang=en,"As Kampotu, we started off with the purpose of providing a healthier and a more natural lifestyle to people in 2012. We aim to offer healthy solutions for our consumers with our inspiration from nature. We carry what nature offers to us to future generations and we bring the food supplements together with those in need.We consider ourselves the “Healthy Life Partners” of those whom we serve and we work with this sense of responsibility. We act with respect toward nature and natural resources; and we aim that future generations can also easily benefit from the resources that the world generously offers. Therefore, we have an environmental awareness in all of our activities.We are aware of all of the support that nature offers us and we work so that it can be beneficial to human health as much as possible.We believe that we add a whole another level to the sector with our attitude and objective. We believe in the content, benefits and quality of our products. Being a bridge of health from past to present, from present to future comes first for us. So we conduct our activities accordingly, and work to make our products beneficial to humankind when we develop them"
440,Kaneka Medical Europe N.V. ,J104 Belgium,http://www.kaneka-ubiquinol.com,"Kaneka Medical Europe N.V., an independent subsidiary of the Japanese Kaneka Corporation, was founded in 1994 in Belgium. With over 11,000 employees worldwide - among which more than 10% are researchers -, the company aims to create new technologies for the future, with an emphasis on sustainable, innovative solutions.Within the Kaneka Medical Europe structure, the Kaneka Nutrients Europe division handles the nutraceutical business as a whole. As a leading manufacturer, Kaneka has in fact developed KANEKA Ubiquinol™, the active and reduced (non-oxidized) form of Coenzyme Q10 (CoQ10), ready for use by the body. Ubiquinol is an “ubiquitous” substance which is naturally present in every human cell, and is vital for cellular energy production, while also acting as a powerful antioxidant. Ubiquinol is the major and active source of CoQ10 in the human body.Following the highest pharma standards, KANEKA Ubiquinol™ is the only naturally produced, patented quality Ubiquinol available on the market since 2007. In addition, Kaneka has also been the pioneer of natural conventional Coenzyme Q10 - KANEKA Q10™ since 1977, and it serves as the reference for pharmaceutical applications.Today, the Kaneka Nutrients Europe team works hand in hand with nearly 300 Brand Holders all over Europe, not only to provide them with the highest quality ingredients, but also to support them in their day-to-day activities with insightful resources."
441,Kappa ,Norway,-,-
442,Kappa Bioscience AS ,J80 Norway,https://www.kappabio.com,"Kappa Bioscience AS was founded in Oslo, Norway in 2006 when a brilliant scientist named Inger Reidun Aukrust made a game-changing discovery: The synthesis of pure, all-bioactive vitamin K2 MK-7, an essential vitamin needed to direct calcium around our bodies, and keep hearts, bones, and lots of other things healthy.Today, that pioneering spirit is still as strong as ever. With patented processes, innovative technology and renowned expertise, Kappa Bioscience AS produces K2VITAL® and K2VITAL® Delta; our vitamin K2 with unmatched purity and stability, in a wider range of formulations than anyone else, to bring the best possible benefits of vitamin K2 to everyone.From vitamin K2 and turn-key solutions, to research and marketing initiatives, to product launches and growth strategies, Kappa Bioscience AS believes in doing it right. That means developing products and services that set new standards of excellence, made with integrity, and through close collaboration. Together with their partners, Kappa Bioscience AS is helping the health and nutrition industry turn a corner, without cutting corners."
443,KarLiz ,G180 Latvia,http://www.carlosbugs.com,"KarLiz Ltd. is a functional food manufacturer with the brand Carlos'Bugs - insect food products for human consumption.We offer chocolate bites with whole dried insect powder in retail packaging, personalized business gifts, and white/ private options.Carlos'Bugs chocolate bites with insect powder - a smart choice for sweets - excellent dark and white chocolate, dried fruits and candied berries, nuts and peas, insect powder for added value.LOW IN SUGAR, RICH IN PROTEIN.Why insect powder?SUSTAINABLE: Saves a lot of space, feed, and water in terms of farming. It is vital to look for a sustainable source of protein & nutrition for human consumption to deliver food with added value and care for our planet.RICH IN NUTRITION: 57% protein (of 100% powder) + calcium, magnesium, B vitamins, Omega 6. The easy and delicious way to add value to your daily products."
444,KD Nutra ,I120 Germany,https://www.kdpharmagroup.com/en/kdnutra,"KD Nutra®, as part of the KD Pharma Group, has become one of the world’s largest Omega-3 and fish oil refiners and suppliers. As a fully vertically integrated company, KD Nutra® offers the most comprehensive range of Omega-3 technologies and products, providing Omega-3 turnkey solutions - both from fish and vegan oil - such as bulk oil, finished capsules, emulsions and liquids. All products are produced in a pharmaceutical drug-licensed, NSF and cGMP certified facility, and meet or exceed all domestic and international standards for quality and purity. The KD Pharma Group provides Omega-3 APIs and concentrates to both the pharmaceutical and nutraceutical industries, featuring concentrates up to 99% in purity. KD Nutra™ have achieved industry leadership through a singular focus on Omega-3 research and technology."
445,KD Pharma ,Germany,-,-
446,KEMIN ,I101 Portugal,https://www.kemin.com/health,"Our human nutrition and health division grows and extracts functional ingredients from natural sources around the world. Our ingredients are used in a range of dietary nutrition products, including supplements and snack foods. Our quality bioactives are clinically shown to support vision, cognition, immune health, sleep and weight management."
447,Kendy Pharma ,M54 Bulgaria,http://www.lactoflor.bg/en,"Kendy Pharma is a leading company with long tradition in the development, production and marketing of food supplements. Established in 1992, the company has state-of–the-art technical equipment for production. Kendy Pharma invests in the entire cycle of product creation—from comprehensive scientific research, through practical development, to implementation- under constant and strict quality control. GMP certified, registered products in 40 countries on 4 continents."
448,Kerry ,H240 Ireland,http://www.kerry.com,"Kerry, the Taste & Nutrition company, offers solutions that nourish lives all over the world. From humble beginnings as an Irish dairy co-operative, Kerry has grown into a large international food industry leader, with offices in 32 countries, 151 manufacturing facilities and more than 26,000 employees globally, including over 1,000 food scientists. We bring to the table our strong food heritage, coupled with over 40 years of experience, global insights and market knowledge, culinary and applications expertise, as well as a range of unique solutions that anticipate and address our customers’ needs. For more information, visit Kerry.com."
449,Kerry ,Spain,-,-
450,Kewpie/Kowa ,A30 France,https://www.kowa.co.jp/eng/index.html,"Kewpie is one of the well-known companies in Japan that was established in 1919.As for the Fine Chemicals business we manufacture high quality Hyaluronic acid for nutraceutical, cosmetic and pharmaceutical grades by using a microbial fermentation method.Kewpie offers Hyaluronic acid and Egg related products such as Lecithin worldwide to a variety of customers.Through studying Hyaluronic acid for more than 30 years, Kewpie has developed and has unique high technology for chemical modification technology and new functionalization."
451,KeyPharm Laboratories ,K190 Belgium,https://physalishealth.com/,"KeyPharm is a leading Belgian manufacturer of premium food supplements, aromatherapy & superfoods (raw, organic, vegan, gluten-free). Brands: Physalis, Biotona, Orca, Pureté Bio. 30 years of experience in natural & organic products. Certified ISO 22000, IFS & carbon neutral. Focus on innovation, natural ingredients, quality, safety & sustainability."
452,KGK Science Inc. ,Canada,-,-
453,Kirsch Pharma GmbH ,Germany,http://www.kirschpharma.com,"Kirsch Pharma is a supplier of high quality ingredients, excipients, blends and semi-finished products for the nutraceucital, nutritional and pharmaceutical industries according to EU GMP guidelines for over 40 years. Products are available in special qualities and customized packaging.Certificates: GMP, GMP+, ISO 9001, FSSC 22000, Kosher, MUI Halal, ecovadis, SEDEXAs an independent, owner-operated company, we are in a position to meet your specific requirements. We are specialised in providing our customers with premium quality raw materials and preparations for individual requirements in the pharmaceutical industry as well as in the fields of special nutrition, biotechnology, veterinary and cosmetics.At the end of 2015, we founded Kirsch Pharma HealthCare. With this wholly owned subsidiary, we will expand the range of pharmaceutical and health products and services along the pharmaceutical value chain. Kirsch Pharma offers ingredients for innovative formulations and individual requirements. Our long-standing networtk of selected co-producers together with our certified laboratory technology are guarantees that you will always receive the quality you need for your specific application. If you require a product which is not included in our delivery programme, please feel free to contact us. We can certainly propose a sustainable solution for your request."
454,Kirsch Pharma HealthCare GmbH ,G171 Germany,https://www.kirschpharma-healthcare.com/,"Quality, expertise and innovation come together at our company. We are your reliable and competent partner for pharmaceutical contract manufacturing. In our new cleanrooms, we offer you production capacities for the manufacturing and processing of solid mixtures in the pharmaceutical and food supplement sectors.Under the motto ""From raw material to your successful products"", we provide you our services and products:Contract manufacturing: development, production and analysis of solid mixturesContract filling: powder mixtures in sachetsOwn products: Dietary supplements with high-quality raw materials to support health and general well-beingKirsch Pharma HealthCare GmbH is part of the owner-managed corporate group of Kirsch Pharma GmbH. This company is an reliable supplier of raw materials for the pharmacy and food industry. The Kirsch Pharma Healthcare GmbH complements the product and service portfolio of the internationally successful Kirsch Pharma group. Our customers are major buyers in the B2B market, as well as market partners catering to the B2C market directly.As a GMP and IFS Food certified company with an integrated quality management system, we offer safe and high-quality products - all from one source and ""Made in Germany"".At our booth G171, you will have the opportunity to find out more about our interesting product range, consisting of food supplements, sports nutrition and medicines."
455,KITOZYME ,K156 Belgium,http://www.kitogreen-agri.com,"KitoZyme is the pioneer and worldwide leader of Vegan / Fungal Chitosan. We serve multiple markets, including Nutraceuticals, Functionnal Foods, Medical Devices, Agriculture, Cosmetics, Personal and Home Care."
456,KLK OLEO ,G49 Malaysia,https://www.klkoleo.com/davoslife/,"KLK OLEO is a global player in oleochemicals and phytonutrients, offering an array of high quality, natural and sustainable products. With over 100 years of industry experience, KLK OLEO supplies bioactives for nutraceuticals and cosmeceuticals, and functional ingredients for food and nutrition applications. Our cutting-edge purification technology enables the production of these ingredients with high purity. The proprietary technology ensures KLK OLEO range of products complies with international regulatory standards for Persistent Organic Pollutants (POPs) and attained major accreditations that comply with worldwide quality standards and good manufacturing practices."
457,KOLINPHARMA SPA ,K100 Italy,http://www.kolinpharma.com,"Kolinpharma SpA is an innovative SME, operating in the nutraceutical and medical device sector, specialized in R&D of innovative and patented products and listed on Italian Stock Exchange (Euronext Growth Milan).We are specialized in uro-gynaecology and fisiatric-orthopedic field. All our products contain highest quality ingredients, some of which are patented and clinically tested. Our finished products are also tested for efficacy - in vitro and in clinical studies.As a recognition for the unique formulations of our products, we already obtained 6 Italian, 32 European, 1 Israeli and 6 USA patents.We pay particular attention to persons who have special food-intake requirements, like food intolerance or people from different religious backgrounds. That’s why our products are gluten and lactose free as well as certified Kosher and Halal."
458,Komarko Sp. z o.o. ,N34 Poland,http://komarko.pl,"KOMARKO is the contract manufacturer of dietary supplements aiming at goods for pharmaceutical industry.We are focused on science, research and continuous development of our processes.Expand Your sales with the highest quality food supplements produced in line with GMP standards."
459,KOTRA/KPTA ,"Korea, South",-,-
460,Kowa Europe GmbH ,A30 France,-,-
461,Kreglinger Specialties ,I150 Belgium,http://www.kreglinger.com,"Kreglinger Europe’s Pharma department aims to supply the Pharma and Food supplements market with highly specialized and exclusive specialty ingredients such as Krill oil, Red Yeast Rice, Oyster Mushroom extract, Astaxanthin, CBD isolate and many others.Fully understanding the issues of the industry, low heavy metal content and strict pesticide residue control etc. are matters of our daily concern.Through formulation support and finding the right ingredients, we help our customers reach the next level."
462,KV Nutrition ,Canada,-,-
463,Kyowa Hakko Europe ,Italy,-,-
464,Kyowa Hakko Europe GmbH ,F44 Germany,http://www.kyowahakko-bio.co.jp/english/,"Kyowa Hakko offers a line of well-researched, branded ingredients and an extensive portfolio of quality-assured, pure amino acids, postbiotics, nucleic acids and related compounds for use in pharmaceutical and nutritional applications.Kyowa’s branded ingredients are backed by over 60 years of research and innovation to deliver targeted, condition-specific consumer health benefits."
465,L.E.V. / ekstraktu rupnica ,G180 Latvia,http://www.lev-extracts.com,"""L.E.V.""(Ekstraktu rupnica) is a food supplements and botanical extracts manufacturer with the experience since 1978. We develop and produce variety of organic and conventional quality ingredients for food, pharmaceutical , veterinary and cosmetic application.""L.E.V.""(Ekstraktu rupnica) offers custom products formulation, private label and contract manufacturing services for food/dietary supplements in the liquid forms.Our products:Food/dietary supplements private label and contract manufacturing in the liquid forms - syrups, tinctures, mixtures, extracts, vitamins;Cannabis extract and products with it;API – Medicinal Plant Extracts and Tinctures;Liquid extracts, soft extracts, tinctures for food supplements and functional products manufacturing;Botanical extracts and active specialties with approved efficacy for cosmetics.Our quality and standards are insured by annual auditing on conformity .ISO 22000 GMP COSMOS Organic production KOSHER"
466,L.E.V./Ekstraktu rupnica/Ltd ,Latvia,-,-
467,Labialfarma ,H80 United Kingdom,-,-
468,Labo Phytophar ,M198 Belgium,http://phytophar.be,"Phytophar® specializes in ISO22000 certified production and contract manufacturing of tablets, capsules and other forms for the nutraceutical industries.We offer our standard products as well as customer specific product developments to you. Individual branding as per your specification can be printed and processed for you by Phytophar. We offer our customers complete service from product conception, development, production to delivery of the finished labeled product irrespective of whether it is in tablet or capsule form.We develop the optimal composition of your individual product together with an innovative team under the professional guidance of pharmacists in the company's internal laboratory. We advise you with respect to legal prerequisites and support you in product positioning and brand identity."
469,Labomar Spa ,E80 Italy,http://labomar.com,"Labomar Group is a global company in the nutraceuticals market which oversees the entire value chain with a focus on innovation.The Group’s Companies are leaders in plant cultivation, raw material processing, product manufacturing and distribution.The Scientific research and the development of patented, high-standard quality technologies lies at Labomar's core."
470,Laboratoire CCD ,K136 France,https://laboratoire-ccd.fr/,"For 50 years, the Laboratoire CCD has listened to women.CCD occupies a central position in the fields of medical assistance for procreation, gynecology and obstetrics, contraception, fertility, intimate care and menopausis, developing a wide range of innovative drugs, medical devices, food supplements for the health of each and every woman.The CCD laboratory will be present at Vitafoods to present its range of food supplements which is at the heart of its activity, as well as its innovations."
471,Laboratoire DIETLIFE ,O72 Monaco,https://dietlife.eu.com/,"Laboratoire Dietlife is a specialized contract manufacturer for weight management industry.We provide full service solutions from formulation to packaging for a wide range of high quality products:• High protein powder preparations• High protein ready to eat products• Food supplements (health, weight control, beauty)• Meal substitutes• Sport nutrition products"
472,Laboratoire GEFA ,J40 France,http://www.golgemma.com/,"GEFA and LIV: The leading edge industrial tool, the ongoing quest for new product formats, the quality standards, the attentiveness and the dynamism of its personnel make us the leading contract manufacturer for food supplements in France. Golgemma : manufacturer specialised in organic liquid plants extracts since 1989."
473,Laboratoire SPLP ,France,-,-
474,Laboratoires ClemaScience ,L150 France,https://onlinexperiences.com/scripts/Server.nxp?LASCmd=AI:4;F:QS!10100&ShowUUID=E13ACB78-46B0-4336-AA4F-E832E921A43E&AffiliateData=ClemaScience_LinkedIn&Referrer=https%3A%2F%2Fwww.linkedin.com%2F,"We offer full-service support, from the creation of natural health & wellness nutri-cosmetic solutions with exclusive formulas to consumer communicationWe provide ready-to-use products adapted to your brand for a quick time to market, as well as bulk or exploitation licences"
475,Laboratoires Ortis ,L149 Belgium,https://www.ortis.com/be_en/,"As a family business with our roots firmly planted at the heart of the High Fens Nature Reserve, in south-eastern Belgium, Ortis has been pioneering herbal medicine since 1958. Owing to our expertise in medicinal plants and our knowledge of their essential role in protecting health, we develop 100% natural-origin, effective and safe health solutions. These solutions help rebalance the body, strengthen immune defences, support regular intestinal transit, and prevent or overcome minor everyday ailments.We are convinced that nature contributes to each and everyone’s well-being, sustainably.Act naturally for your health."
476,LABORATORIA NATURY Sp. z o.o. ,N46 Poland,http://www.privatemanufacturing.eu/en/main-page/,"Welcome to Laboratoria Natury, where we develop diet supplement formulas according to your needs.Laboratoria Natury is a company established in 2001. Fifteen years of market experience and highest quality of R&D and manufacturing service made us a top contract manufacturing company (private label).We are experts in production dietary supplements in the chocolate, pectin gummies and liquid form."
477,Laboratorios Virens ,O90 Spain,http://www.lvirens.com,"Exclusively dedicated to contract manufacturing, Virens manufactures food supplements with technical accuracy and high quality standards. Founded in 2006 but with over 20 years of experience in this field, the company has highly skilled managerial and production teams with extensive experience in the industry of foods supplements."
478,Lactalis Nutrition Sante ,K126 France,https://lns-privatelabel.com/fr/,"A dedicated team of experts in nutrition, working together to provide our clients with high-quality products in Infant, Clinical and Sport Nutrition.At Lactalis Nutrition Private Label, we are committed to meeting the specific needs of each client. With more than 10 years’ international experience in developing private label activity, we are able to offer customized service and products to our clients, by relying on an extensive knowledge of the industry and markets, by staying on top of innovations and trends in the world of ingredients, by challenging ourselves every day to achieve excellence in nutrition."
479,LAITA NUTRITION ,L129 France,https://www.laita-nutrition.com,"For 30 years, Laita Nutrition has been developing and supplying long shelf life, complex products for infant and adult nutrition.Laita Nutrition is represented by three industrial facilities located throughout Western France: Ancenis (44), Créhen (22) and Ploudaniel (29).Laita Nutrition is a team of experts in the development, industrialization and manufacturing of complex products for its B-to-B customers. Thanks to cutting-edge industrial equipment, Laïta Nutrition can manufacture very specific products, in both powdered and liquid forms, for all areas of the nutrition market."
480,Lallemand Bio-ingredients ,Canada,https://bio-lallemand.com/health-ingredients/,"Lallemand Bio-Ingredients (LBI) is a business unit of Lallemand Inc., a privately-held Canadian company founded at the end of the 19th century, and specializing in research, development, production and marketing of yeasts and bacteria. Today, Lallemand is present through plants, distribution centers or representative offices in over 50 countries.LBI develops, manufactures and markets high-value yeast products from Saccharomyces cerevisiae and Torula yeast, including whole cell nutritional yeast, yeast extracts and yeast derivatives.Yeast is a unicellular fungus that fits well with plant-based solutions, including vegan, vegetarian and flexitarian diets. The LBI portfolio offers a variety of products that can contribute flavour and texture to create delicious plant-based meals. Furthermore, vitamin and mineral yeasts and specific yeast fractions can be used to support daily recommended micronutrient requirements with food fortification.The Health Ingredients segment of LBI specializes in ingredients to support optimal health. M-Gard® yeast beta-glucan has been proven to support the immune system. Lalmin® vitamin and mineral yeasts are inactivated whole cell yeast products containing elevated levels of specific micronutrients. Gastro-AD® is a lactobacillus-fermented soy product for natural relief of heartburn symptoms and digestive health. Engevita® is a premium nutritional yeast which can contribute to your recipe or application in many ways for taste, texture and nutritional value. Yesto-Seal® are brewer’s yeast products which are specifically designed for tableting. All are suitable for plant-based applications"
481,Lallemand Health Solutions Inc ,F40 Canada,https://www.rosellinstitutelallemand.com,"Lallemand Health Solutions is a vertically integrated probiotic manufacturer specialized in the research, development, production and marketing of probiotic yeast and bacteria. Its ready-to-market and custom probiotic formulations target specific populations and health segments including Gut health, Natural defenses, Mental health, Women’s health, Skin health, Oral health, Sport and Metabolism. Probiotics are manufactured in cutting-edge plants certified to the highest quality. More than 600 probiotic formulas are currently marketed in over 60 countries across five continents.From lab to shelf, Lallemand Health Solutions has the full control and expertise to produce premium probiotic solutions, blends and custom formulations as each development step is expertly supported by internal quality insurance, regulatory affairs, research and development, scientific affairs, technical support, sales and marketing teams.The Rosell® Institute for Microbiome and Probiotics by Lallemand, Lallemand Health Solutions’ research and development center located at the National Research Council of Canada in Montreal, develops partnerships with key scientific experts in order to study the human microbiome and how probiotic supplements can be used as a means to improve or maintain health in specific populations or health segments. The various Lallemand Health Solutions probiotics have already been studied in multiple research programs including 160 clinical studies leading to 350+ scientific publications"
482,Lambo Laboratoria NV ,Belgium,-,-
483,Lambo Laboratories N.V. ,I198 Belgium,https://labo-lambo.be/contact/,"Lambo Laboratories is belgium CDMO specialized in the production of high quality soft Gel capsules.Our company operates worldwide and has more than 100 years of experience in the production and development.We manufacture for and cooperate with Partners in various sectors – pharmaceutical, nutritional supplements, veterinary and cosmetics.Lambo supports projects from idea to market, providing a full service including packaging, development and analyzes.Thanks to our experience, motivated team, state of the art equipment and innovative mindset, Lambo is able to make the most challenging and complex formulations. With the successful launch of our BE -CAPS VEG (starch based softgels) we provide a solution for every need.We encapsulate your added value!"
484,Lantmannen Functional Foods ,B161 Sweden,http://https://www.lantmannenfunctionalfoods.com,"Lantmännen Functional Foods develops and markets plant-based functional ingredients for food, beverages, dietary supplements, animal feed, as well as nutraceuticals, functional foods, and food supplements."
485,LAPI GELATINE ,E60 Italy,http://www.lapiglatine.com,"Lapi Gelatine promotes a top-quality Made in Italy product worldwide:a complete range of bovine and fish gelatine and collagen peptides, guaranteeing 100% European production, quality and safety."
486,Larn Srl ,H200 Italy,http://www.larnsrl.it,"Since 1988, LARN is a contract manufacturer company of Food Supplements, Medical Devices, Foods for Special Medical Purposes and Complementary Feed for third parties only. The aim is to offer tailor-made and high quality products in full-service, such as tablets, capsules, sachets and liquids, according to GMP, ISO 9001, ISO 13485, FDA and ORGANIC standard.The key values of the company are quality, flexibility, innovation and focus on Customer."
487,Lat Eko Food ,G180 Latvia,http://www.latekofood.lv/en,"Lat Eko Food producing premium organic baby food and nutrient food for the whole family under the brand «RUDOLFS» -100% natural with no additives, no sugar added and no preservatives.Since 2015, we have expanded our range of products by developing premium products for all ages(jams, smoothies, ketchups, sauces and spreads) and for other segments and channels, such asPrivate Label and HoReCa, among others.We pride ourselves on delivering high quality products by carefully selecting our raw material suppliersand thoroughly controlling each step of the manufacturing process. As a result, we ensure a wide rangeof products that provide children and families with healthy and high nutritional value meals."
488,Layn Natural Ingredients ,K90 China,http://layncorp.com,"Global leader in the vertically-integrated innovation and production of clean label, polyphenol-rich botanical extract branded solutions and single ingredients"
